id,type,temp_air,temp_process,speed,torque,tool_wear,is_failure
47388,L,298.4,308.6,1591,36.7,122,0
47389,L,298.4,308.6,1477,44.0,124,0
47390,L,298.4,308.7,1523,36.1,126,0
47391,L,298.5,308.7,1575,33.9,128,0
29626,H,298.4,308.7,1344,52.9,130,0
47393,L,298.4,308.7,1386,44.9,135,0
15074,M,298.3,308.6,1589,37.1,137,0
47395,L,298.3,308.6,1548,40.3,140,0
47396,L,298.3,308.6,1499,38.3,142,0
47397,L,298.3,308.5,1664,31.6,144,0
47398,L,298.3,308.6,1447,38.1,146,0
15079,M,298.3,308.5,1434,46.2,148,0
47400,L,298.3,308.5,1416,52.7,151,0
29635,H,298.4,308.5,1827,24.3,153,0
47402,L,298.4,308.6,1304,45.0,158,0
47403,L,298.4,308.6,1569,34.4,160,0
47404,L,298.3,308.6,1584,29.3,162,0
47405,L,298.3,308.5,1362,53.8,164,0
47406,L,298.3,308.4,1329,49.2,166,0
47407,L,298.3,308.5,1539,36.1,168,0
15088,M,298.3,308.5,1629,37.1,170,0
47409,L,298.3,308.5,1538,32.2,173,0
47410,L,298.3,308.6,1570,34.8,175,0
47411,L,298.3,308.4,1408,43.1,177,0
47412,L,298.2,308.4,1424,47.6,179,0
47413,L,298.2,308.4,1512,34.9,181,0
47414,L,298.2,308.4,1478,42.9,183,0
15095,M,298.1,308.3,1680,33.7,185,0
47416,L,298.1,308.3,1495,38.7,188,0
15097,M,298.0,308.1,1552,36.6,190,0
47418,L,297.9,308.1,1393,50.3,193,0
47419,L,298.0,308.2,1611,30.6,195,0
15100,M,298.0,308.1,1339,51.6,197,0
47421,L,298.0,308.1,1777,24.3,200,0
47422,L,298.0,308.2,1348,58.8,202,1
47423,L,298.0,308.2,1442,44.1,204,0
15104,M,298.0,308.2,1395,49.1,206,0
15105,M,297.9,308.1,1627,31.4,209,0
47426,L,297.9,308.1,1585,33.5,212,0
47427,L,298.0,308.2,1469,45.5,214,0
47428,L,298.0,308.3,1362,56.8,216,1
47429,L,298.0,308.3,1405,56.2,218,1
47430,L,298.0,308.3,1662,32.7,0,0
15111,M,298.0,308.2,1466,42.6,2,0
47432,L,298.0,308.2,1620,35.8,5,0
47433,L,298.0,308.2,1357,48.2,7,0
47434,L,298.0,308.2,1514,37.9,9,0
47435,L,298.0,308.2,1489,40.4,11,0
47436,L,298.1,308.3,1331,63.0,13,0
47437,L,298.0,308.0,1615,29.5,15,0
47438,L,298.1,308.2,1482,37.9,17,0
15119,M,298.1,308.2,1420,63.9,19,1
15120,M,298.2,308.3,1522,49.1,22,0
47441,L,298.1,308.2,1654,32.1,25,0
15122,M,298.1,308.2,1736,26.8,27,0
15123,M,298.0,308.1,1587,32.3,30,0
47444,L,298.1,308.2,1390,47.5,33,0
47445,L,298.0,308.1,1454,37.1,35,0
29680,H,298.0,308.1,1440,43.7,37,0
47447,L,297.9,308.0,1954,21.1,42,0
29682,H,297.9,308.0,1800,24.8,44,0
47449,L,298.0,308.0,1524,37.0,49,0
29684,H,298.0,308.0,1520,39.6,51,0
15131,M,298.1,308.1,1452,40.8,56,0
47452,L,298.1,308.1,1484,40.4,59,0
47453,L,298.1,308.0,1426,46.0,61,0
47454,L,298.1,308.0,1652,28.5,63,0
47455,L,298.0,308.0,1401,54.7,65,0
15136,M,298.0,307.9,1750,26.6,67,0
29691,H,298.0,308.0,1479,50.7,70,0
15138,M,298.0,308.0,1620,29.4,75,0
47459,L,298.0,308.1,1819,23.4,78,0
15140,M,298.1,308.1,1456,43.7,80,0
47461,L,298.1,308.0,1626,36.5,83,0
15142,M,298.1,308.1,1390,49.8,85,0
47463,L,298.2,308.2,1469,43.0,88,0
47464,L,298.2,308.3,2051,19.2,90,0
47465,L,298.2,308.3,1568,36.0,92,0
47466,L,298.2,308.3,1589,33.2,94,0
47467,L,298.2,308.3,1805,31.6,96,0
29702,H,298.2,308.4,1385,42.2,98,0
47469,L,298.1,308.4,1436,46.7,103,0
47470,L,298.1,308.4,1438,45.6,105,0
47471,L,298.0,308.3,1473,42.6,107,0
47472,L,298.1,308.4,1335,40.2,109,0
29707,H,298.1,308.5,1392,44.8,111,0
15154,M,298.1,308.5,1372,51.1,116,0
15155,M,298.1,308.6,1716,30.7,119,0
47476,L,298.0,308.5,1395,46.2,122,0
47477,L,298.0,308.5,1713,25.3,124,0
29712,H,297.9,308.5,2129,18.7,126,0
15159,M,297.8,308.3,1567,35.6,131,0
47480,L,297.8,308.4,1622,38.3,134,0
47481,L,297.7,308.4,1740,27.1,136,0
29716,H,297.8,308.4,1512,35.1,138,0
15163,M,297.8,308.4,1479,43.5,143,0
47484,L,297.8,308.4,1737,27.5,146,0
47485,L,297.8,308.4,2129,19.2,148,0
47486,L,297.8,308.4,1374,47.1,150,0
15167,M,297.8,308.4,1579,36.6,152,0
47488,L,297.9,308.5,1305,47.2,155,0
15169,M,297.9,308.5,1449,40.8,157,0
29724,H,298.0,308.6,1526,41.8,160,0
15171,M,298.0,308.6,1453,44.1,165,0
47492,L,297.9,308.6,1468,36.0,168,0
47493,L,298.0,308.6,1313,50.8,170,0
15174,M,297.9,308.5,1300,53.0,172,0
47495,L,297.9,308.4,1646,40.6,175,0
47496,L,297.8,308.4,1714,33.2,177,0
47497,L,297.8,308.4,1685,28.4,179,0
47498,L,297.8,308.4,1512,39.9,181,0
47499,L,297.8,308.4,1612,32.1,183,0
29734,H,297.8,308.4,1550,38.2,185,0
47501,L,297.8,308.4,1518,32.5,190,0
47502,L,297.8,308.5,1448,40.0,192,0
47503,L,297.8,308.5,1561,46.3,194,0
15184,M,297.8,308.5,1488,41.9,196,0
47505,L,297.8,308.5,1699,27.8,199,0
47506,L,297.7,308.5,1501,41.4,201,0
47507,L,297.7,308.5,1373,56.7,203,1
29742,H,297.6,308.4,1703,31.4,205,0
29743,H,297.7,308.5,1720,29.9,210,0
15190,M,297.6,308.4,1398,41.9,215,0
15191,M,297.6,308.4,1391,51.9,218,0
15192,M,297.6,308.3,1538,40.2,0,0
47513,L,297.5,308.2,1647,31.3,3,0
15194,M,297.5,308.1,1469,44.8,5,0
47515,L,297.4,308.1,1749,25.9,8,0
15196,M,297.6,308.2,1995,20.5,10,0
47517,L,297.6,308.3,1742,27.7,13,0
47518,L,297.5,308.2,1563,38.2,15,0
15199,M,297.5,308.2,1713,32.2,17,0
47520,L,297.4,308.1,1474,39.4,20,0
15201,M,297.4,308.2,1530,32.6,22,0
47522,L,297.4,308.2,1471,46.5,25,0
47523,L,297.5,308.3,1388,48.6,27,0
15204,M,297.5,308.2,2448,13.8,29,0
47525,L,297.5,308.3,1585,32.9,32,0
15206,M,297.5,308.3,1459,45.2,34,0
47527,L,297.5,308.3,1544,40.8,37,0
47528,L,297.6,308.3,1617,31.7,39,0
47529,L,297.6,308.3,1595,34.3,41,0
29764,H,297.6,308.3,1400,44.3,43,0
15211,M,297.6,308.4,1611,31.0,48,0
15212,M,297.6,308.4,1507,46.0,51,0
29767,H,297.5,308.3,1674,30.0,54,0
47534,L,297.6,308.3,1658,34.3,59,0
47535,L,297.6,308.3,1623,36.9,61,0
15216,M,297.6,308.4,1398,48.9,63,0
47537,L,297.6,308.4,1517,34.2,66,0
15218,M,297.6,308.3,1467,36.7,68,0
15219,M,297.6,308.3,1567,34.6,71,0
15220,M,297.5,308.3,1521,38.2,74,0
47541,L,297.5,308.3,1596,36.8,77,0
29776,H,297.6,308.3,1640,30.9,79,0
47543,L,297.6,308.3,1438,47.8,84,0
47544,L,297.6,308.4,1407,55.2,86,0
47545,L,297.6,308.4,1353,57.5,88,0
15226,M,297.6,308.5,1552,40.9,90,0
15227,M,297.6,308.4,1569,38.3,93,0
47548,L,297.5,308.4,1489,39.5,96,0
29783,H,297.5,308.4,1587,36.1,98,0
15230,M,297.5,308.3,1622,37.2,103,0
47551,L,297.5,308.4,1604,38.1,106,0
15232,M,297.4,308.3,1405,51.7,108,0
47553,L,297.4,308.3,1412,42.0,111,0
47554,L,297.4,308.3,1431,43.0,113,0
47555,L,297.4,308.2,1533,37.4,115,0
15236,M,297.4,308.2,1401,51.9,117,0
15237,M,297.4,308.2,1424,53.9,120,0
47558,L,297.3,308.2,1754,29.4,123,0
47559,L,297.3,308.2,1754,26.8,125,0
47560,L,297.5,308.3,2564,12.8,127,1
47561,L,297.5,308.5,1546,40.4,129,0
47562,L,297.5,308.5,1335,48.0,131,0
15243,M,297.5,308.6,1842,27.0,133,0
47564,L,297.5,308.5,1712,26.8,136,0
15245,M,297.6,308.6,1414,45.4,138,0
47566,L,297.6,308.7,1319,50.9,141,0
47567,L,297.7,308.7,1249,60.4,143,0
47568,L,297.6,308.7,1455,48.2,145,0
15249,M,297.6,308.7,1408,54.8,147,0
47570,L,297.6,308.7,1460,46.7,150,0
47571,L,297.6,308.6,1491,38.1,152,0
15252,M,297.6,308.5,1490,43.4,154,0
15253,M,297.5,308.4,1350,52.2,157,0
47574,L,297.5,308.4,1528,39.9,160,0
47575,L,297.4,308.3,1571,37.7,162,0
47576,L,297.4,308.3,1490,42.6,164,0
15257,M,297.4,308.3,1774,28.9,166,0
29812,H,297.4,308.3,1502,43.6,169,0
47579,L,297.4,308.4,1392,49.7,174,0
47580,L,297.4,308.5,2100,16.9,176,0
47581,L,297.5,308.5,1722,30.4,178,0
47582,L,297.4,308.6,1678,32.3,180,0
47583,L,297.3,308.6,1273,59.8,182,0
47584,L,297.3,308.6,1297,45.9,184,0
47585,L,297.3,308.5,1350,57.6,186,0
47586,L,297.4,308.6,1439,51.9,188,0
15267,M,297.4,308.5,1600,42.1,190,0
15268,M,297.4,308.6,1434,44.4,193,0
47589,L,297.4,308.6,1459,41.3,196,0
15270,M,297.5,308.6,1472,44.9,198,0
47591,L,297.5,308.7,1429,44.3,201,0
47592,L,297.5,308.6,1388,48.2,203,0
47593,L,297.4,308.4,1573,34.5,205,0
47594,L,297.4,308.4,1588,32.5,207,0
47595,L,297.5,308.4,1511,42.8,209,0
47596,L,297.4,308.5,1495,37.8,211,0
47597,L,297.4,308.4,1394,50.1,213,0
47598,L,297.4,308.4,2151,17.7,0,0
15279,M,297.3,308.3,1501,38.2,2,0
15280,M,297.3,308.3,1301,39.6,5,0
15281,M,297.3,308.3,1657,31.1,8,0
47602,L,297.3,308.3,1333,55.2,11,0
47603,L,297.3,308.3,1484,43.9,13,0
47604,L,297.3,308.4,1430,45.7,15,0
15285,M,297.3,308.4,1665,28.9,17,0
47606,L,297.4,308.5,1501,44.9,20,0
15287,M,297.5,308.5,1496,42.2,22,0
15288,M,297.6,308.6,1595,36.9,25,0
47609,L,297.5,308.6,1208,62.3,28,0
47610,L,297.5,308.6,1596,37.1,30,0
47611,L,297.5,308.5,1446,41.9,32,0
15292,M,297.6,308.5,1466,39.7,34,0
15293,M,297.6,308.5,1848,23.7,37,0
15294,M,297.5,308.5,1484,44.7,40,0
47615,L,297.4,308.3,1493,41.2,43,0
47616,L,297.3,308.3,1504,36.3,45,0
47617,L,297.3,308.3,1538,38.5,47,0
47618,L,297.4,308.4,1341,52.2,49,0
15299,M,297.4,308.3,1535,34.6,51,0
47620,L,297.4,308.5,1389,39.2,54,0
29855,H,297.5,308.5,1393,46.6,56,0
47622,L,297.4,308.5,1399,61.5,61,1
29857,H,297.4,308.5,1469,45.1,63,0
47624,L,297.4,308.4,1582,37.2,68,0
47625,L,297.5,308.6,1793,26.7,70,0
47626,L,297.5,308.6,1452,39.0,72,0
15307,M,297.6,308.7,1376,59.9,74,0
47628,L,297.5,308.6,1552,44.9,77,0
47629,L,297.6,308.7,1622,37.9,79,0
15310,M,297.6,308.7,1419,41.7,81,0
29865,H,297.5,308.6,1440,46.1,84,0
15312,M,297.4,308.6,1643,31.0,89,0
47633,L,297.4,308.7,1510,36.2,92,0
47634,L,297.4,308.7,1468,46.6,94,0
47635,L,297.4,308.7,1429,57.4,96,0
29870,H,297.3,308.7,1478,47.6,98,0
47637,L,297.4,308.6,1276,53.6,103,0
47638,L,297.3,308.6,1486,42.6,105,0
47639,L,297.4,308.6,1476,42.3,107,0
29874,H,297.3,308.6,1431,42.0,109,0
47641,L,297.4,308.7,1402,40.2,114,0
47642,L,297.4,308.7,1433,43.4,116,0
47643,L,297.4,308.7,2874,4.2,118,1
47644,L,297.3,308.6,1511,35.7,120,0
15325,M,297.3,308.6,1456,42.9,122,0
47646,L,297.2,308.5,1550,41.5,125,0
47647,L,297.2,308.5,2182,16.5,127,0
47648,L,297.3,308.7,1619,31.6,129,0
15329,M,297.3,308.8,1586,32.7,131,0
29884,H,297.3,308.8,1499,44.2,134,0
29885,H,297.3,308.8,1419,42.4,139,0
15332,M,297.4,309.0,1497,41.8,144,0
15333,M,297.4,309.0,1520,37.0,147,0
47654,L,297.4,309.1,1478,49.8,150,0
47655,L,297.4,309.1,1380,41.1,152,0
47656,L,297.4,309.0,1570,37.9,154,0
29891,H,297.4,309.0,1468,41.4,156,0
47658,L,297.4,309.0,1833,22.6,161,0
15339,M,297.4,308.9,1323,57.3,163,0
47660,L,297.4,309.0,1583,32.0,166,0
15341,M,297.3,309.0,1556,39.5,168,0
47662,L,297.3,309.0,1548,37.4,171,0
47663,L,297.4,309.0,1324,56.9,173,0
47664,L,297.4,309.0,1568,33.7,175,0
15345,M,297.4,309.0,1685,30.7,177,0
15346,M,297.4,309.1,1582,35.9,180,0
15347,M,297.4,309.1,1463,35.0,183,0
47668,L,297.4,309.2,1584,42.8,186,0
15349,M,297.5,309.2,1347,55.8,188,0
47670,L,297.4,309.2,1459,37.9,191,0
47671,L,297.4,309.2,1420,45.6,193,0
47672,L,297.5,309.3,1404,43.5,195,0
47673,L,297.5,309.3,1470,38.8,197,0
47674,L,297.6,309.4,1326,49.8,199,0
29909,H,297.5,309.3,1459,49.7,201,0
15356,M,297.5,309.2,1530,40.0,206,0
47677,L,297.4,309.0,1505,39.2,209,0
47678,L,297.5,309.1,1611,30.2,211,0
47679,L,297.5,309.1,1515,35.1,213,0
15360,M,297.5,309.2,1804,27.4,215,0
15361,M,297.6,309.3,1464,46.2,218,0
47682,L,297.6,309.2,1390,43.3,221,0
15363,M,297.6,309.2,1442,48.1,0,0
15364,M,297.6,309.3,1529,41.9,3,0
47685,L,297.6,309.3,1610,35.0,6,0
47686,L,297.6,309.3,1543,34.3,8,0
29921,H,297.8,309.4,1445,48.2,10,0
47688,L,297.7,309.3,1893,24.6,15,0
15369,M,297.6,309.3,1415,41.3,17,0
47690,L,297.5,309.3,1564,37.5,20,0
47691,L,297.5,309.3,1479,39.4,22,0
47692,L,297.5,309.2,1426,44.8,24,0
47693,L,297.4,309.2,1428,38.8,26,0
47694,L,297.4,309.2,1620,33.2,28,0
47695,L,297.5,309.2,1715,28.0,30,0
47696,L,297.5,309.3,1732,29.9,32,0
15377,M,297.5,309.4,1391,58.2,34,0
47698,L,297.6,309.5,1924,20.6,37,0
15379,M,297.7,309.5,2027,19.8,39,0
47700,L,297.6,309.5,1617,36.2,42,0
47701,L,297.5,309.4,1497,35.8,44,0
15382,M,297.5,309.5,1448,43.7,46,0
47703,L,297.4,309.4,1401,45.9,49,0
47704,L,297.4,309.4,1620,35.4,51,0
47705,L,297.4,309.4,1466,45.5,53,0
47706,L,297.6,309.5,1373,50.6,55,0
15387,M,297.6,309.6,1592,35.8,57,0
15388,M,297.5,309.5,1553,42.4,60,0
47709,L,297.6,309.5,1569,36.2,63,0
15390,M,297.6,309.5,1709,32.2,65,0
47711,L,297.6,309.5,1549,34.9,68,0
47712,L,297.5,309.4,1443,45.4,70,0
47713,L,297.5,309.3,1675,29.8,72,0
47714,L,297.5,309.3,1623,33.4,74,0
29949,H,297.4,309.3,1365,52.4,76,0
47716,L,297.4,309.3,1759,24.8,81,0
29951,H,297.4,309.3,1516,43.0,83,0
15398,M,297.4,309.3,1499,36.8,88,0
15399,M,297.4,309.3,1775,25.8,91,0
47720,L,297.4,309.4,1473,45.5,94,0
47721,L,297.4,309.4,1296,52.3,96,0
47722,L,297.5,309.4,1803,24.7,98,0
29957,H,297.5,309.3,1563,36.1,100,0
15404,M,297.5,309.4,1831,26.6,105,0
47725,L,297.6,309.4,1958,22.1,108,0
47726,L,297.5,309.4,1809,24.3,110,0
15407,M,297.5,309.4,1482,39.3,112,0
47728,L,297.4,309.3,1332,53.2,115,0
47729,L,297.4,309.2,1437,40.4,117,0
47730,L,297.4,309.2,1698,29.4,119,0
47731,L,297.4,309.2,1274,54.3,121,0
15412,M,297.4,309.3,1622,35.0,123,0
15413,M,297.4,309.3,1564,36.0,126,0
29968,H,297.5,309.4,1368,45.3,129,0
15415,M,297.4,309.4,1539,42.2,134,0
47736,L,297.5,309.4,1357,50.1,137,0
15417,M,297.5,309.4,1433,48.3,139,0
47738,L,297.5,309.4,1650,34.6,142,0
47739,L,297.5,309.4,1503,40.6,144,0
47740,L,297.5,309.4,1318,58.2,146,0
15421,M,297.5,309.4,1678,34.4,148,0
47742,L,297.6,309.5,1574,30.9,151,0
47743,L,297.7,309.6,1529,35.2,153,0
29978,H,297.6,309.6,1669,32.1,155,0
29979,H,297.7,309.7,1570,35.8,160,0
15426,M,297.6,309.7,1541,33.7,165,0
15427,M,297.7,309.7,1680,30.2,168,0
47748,L,297.8,309.7,1935,22.1,171,0
15429,M,297.7,309.6,1596,35.2,173,0
47750,L,297.7,309.7,1498,41.0,176,0
15431,M,297.8,309.8,1676,29.0,178,0
47752,L,297.8,309.9,1351,49.0,181,0
47753,L,297.9,309.9,1472,45.0,183,0
15434,M,297.9,310.0,1439,41.7,185,0
15435,M,297.9,309.9,1410,55.4,188,0
29990,H,297.7,309.7,1440,51.1,191,0
47757,L,297.7,309.7,1591,37.7,196,0
47758,L,297.8,309.8,1533,36.8,198,0
15439,M,297.8,309.7,1700,31.3,200,0
